Actual,RNN_Predicted,LSTM_Predicted,ARIMA_Predicted,HW_Predicted
227.169998,231.50357,226.99516,332.389018029694,374.706943738558
224.55000300000003,235.84798,227.37723,332.3543000985296,374.86613264966866
234.899994,233.69637,227.52052,332.30342811619096,375.02532156077933
233.100006,236.99648,229.46751,332.28644470385126,375.18451047189
230.339996,239.46698,231.34804,332.3191309642877,375.3436993830007
230.059998,236.2907,232.6845,332.3684078793409,375.50288829411136
238.91999799999996,245.68066,233.67477,332.3857796723274,375.66207720522203
238.600006,239.82184,235.87233,332.3550393691311,375.8212661163327
245.08000200000004,254.56407,237.94229,332.307329618264,375.9804550274434
253.49999999999997,249.42238,240.88632,332.28962522942504,376.13964393855406
252.38000500000004,255.67618,245.08975,332.3185026184572,376.29883284966473
254.860001,263.99268,248.90392,332.36467379633086,376.4580217607754
253.53999300000004,258.44568,252.61108,332.3826582919762,376.617210671886
258.179993,267.2189,255.44606,332.35556339863894,376.77639958299676
255.67999300000002,271.29306,258.3224,332.31090160965937,376.9355884941074
260.170013,270.02698,260.13284,332.29268634044,377.09477740521805
264.880005,271.54462,262.02942,332.3180765789664,377.25396631632873
228.820007,267.9538,264.25177,332.3612586664523,377.4131552274394
228.039993,264.60883,259.82556,332.37965839628777,377.5723441385501
235.77000399999997,244.20166,254.05792,332.3558975011986,377.73153304966075
242.25999500000003,250.31075,249.23132,332.3141650087652,377.89072196077143
241.610001,245.98228,246.04279,332.2956242422187,378.0499108718821
233.850006,251.96477,243.68881,332.3178286247105,378.2090997829928
234.33999599999999,250.80446,240.85953,332.3581419684306,378.36828869410346
228.32000699999998,250.5968,238.66052,332.3767831098525,378.52747760521413
230.75,246.7041,236.01378,332.35606483991904,378.6866665163248
233.419998,243.56654,234.20549,332.3171399329226,378.8458554274355
238.300003,245.49535,233.4057,332.2984364392167,379.0050443385461
235.00999499999998,243.98123,234.01562,332.31773661618536,379.16423324965683
229.00999500000003,251.0846,234.59558,332.3553039945331,379.32342216076745
234.99999999999997,241.14064,234.3306,332.37403433842564,379.4826110718781
219.61999500000002,239.54396,234.9984,332.3560865644238,379.6417999829888
215.639999,242.93849,233.1241,332.3198456756553,379.8009888940995
219.940002,223.46973,230.2195,332.30112157793667,379.96017780521015
226.830002,227.95558,227.90216,332.3177803606001,380.1193667163208
225.86000100000004,220.97041,227.05898,332.3527258690368,380.2785556274315
220.83000199999998,232.79372,226.62584,332.3714129191085,380.4377445385422
222.149994,227.34247,225.74094,332.35598194303395,380.59693344965285
211.399994,231.85143,225.2372,332.32230069223914,380.7561223607635
215.00000000000003,232.48141,223.09525,332.30367930342595,380.9153112718742
214.08000200000004,218.27925,221.48093,332.3179414824329,381.0745001829849
215.589996,221.18292,219.93338,332.35038955887643,381.23368909409555
